Id,Text,Score
486,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,5
487,I had Filet Mignon with garlic mash.,1
488,It was divine melts in your mouth.,5
489,My boyfriend had Prime Rib it was good .,5
490,We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough.,5
491,We had Lava Cake... we ordered when our food came it takes at least a 1/2 to make it.,1
492,It's cuz it's so good you need to taste it!!!,5
493,All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,5
494,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,5
495,If you like spicy food get the chicken vindaloo.,5
496,It's very spicy but not offensive.,5
497,We will definitely go back.,5
498,Go to Volare for 1st class service and terrific food.,5
499,The portions are large and the servers always surprise us with a different starter.,5
500,The wine list is excellent.,5
501,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,5
502,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",5
503,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",1
504,People dress in suits or evening gowns as well as shirts jeans.,1
505,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,1
506,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,5
507,"Recommendations, of course, are required!",1
508,Please be aware that it's CASH or AMEX only!,1
509,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",1
510,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",1
511,The menu is very limited - i think we counted 4 or 5 entrees.,1
512,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",1
513,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1
514,Problem is nothing at Prune is particularly memorable.,1
515,No plans to return anytime soon.,1
516,This place is so much fun.,5
517,Our family never expected such incredible entertainment in a restaurant.,5
518,This place must have cost the owners afortune to build.,1
519,I think the stuff was better than Disney.,1
520,Our food was great too!,5
521,And really large portions.,5
522,The staff was the friendliest that have seen in New York.,5
523,We will go back every time we are in the City.,5
524,If you want something really different than try Jekyll and Hyde.,5
525,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,5
526,The food was pretty tradional but it was hot and good with large portions.,5
527,I highly recommend it.,5
528,I am going to the mid town location next.,1
529,The place is a lot of fun.,5
530,My six year old loved it.,5
531,The characters really make for an enjoyable experience.,5
532,"The food however, is what one might expect.",1
533,It is very overpriced and not very tasty.,1
534,"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",5
535,We had a good time.,5
536,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,1
537,Service was slow had to wait to order and get food although not crowded.,1
538,Drinks way over priced.,1
539,Food was good not great not worth the wait or another visit,1
540,Food was good not great not worth the wait or another visit,1
541,Great pizza for lunch place.,5
542,Service was quick.,5
543,The pizza was great.,5
544,And it was quick which is very important.,5
545,Have the iced tea.,1
546,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",5
547,Delivery is fast too.,5
548,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",5
549,A little overpriced but worth it once you take a bite.,1
550,A little overpriced but worth it once you take a bite.,5
551,"Growing up in NY, I have eaten my share of bagels.",1
552,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,5
553,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",5
554,They have a huge selection of different cream cheeses and all of their salads are great.,5
555,The lox is always fresh too.,5
556,Highly recommended to all!,5
557,I have to agree with the previous reviewer.,1
558,I don't get it either.,1
559,Not impressed with the food.,1
560,Prices too high for this cramped and unappealing resturant.,1
561,Zero ambiance to boot.,1
562,I thought this place was totally overrated.,1
563,Everything we had was good or ok....but definitely nothing great.,1
564,"The ambience was nice, but service wasn't so great.",5
565,"The ambience was nice, but service wasn't so great.",1
566,"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",1
567,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,5
568,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,5
569,Thius is a must for anyone who loves Shabu-Shabu.,5
570,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",5
571,The owner and staff are all Japanese as well and that adds to the entire ambiance.,5
572,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",1
573,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",5
574,I must give it Yon out of Yon stars!,5
575,Taxan delicious!,5
576,Arigato Gozimas Yuka!,1
577,"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!",1
578,We weren't!,5
579,The prices were CHEAP compared to the quality of service and food.,5
580,"We liked it so much, that we will always make it a point to dine here when we visit New York.",5
581,Went there for an office lunch.,1
582,The location and ambience is Ok but the food is what makes up for it.,1
583,The location and ambience is Ok but the food is what makes up for it.,5
584,There is a lot of variety even for people who eat vegetarian like me.,5
585,Try green curry with vegetables.,5
586,"The quantity is also very good, you will come out satisfied.",5
587,"The service is ok, some of the people didn't get what they asked for.",1
588,I was there on sat. for my birthday and we had an excellent time.,5
589,I had the best ravioli ever.,5
590,The wine the service was very good too.,5
591,Moderate prices.,1
592,A little noise but I think that was because of our party!,1
593,Molto bene!,1
594,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,5
595,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",5
596,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",5
597,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",5
598,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",1
599,A guaranteeed delight!,5
600,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",5
601,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",5
602,Check out the secret back room.,5
603,Old school meets New world.,1
604,I pray it stays open forever.,5
605,Thank You Emilio.,5
606,Ciao Bella,1
607,"I found the food, service and value exceptional everytime I have been there.",5
608,The food was authentic.,5
609,I felt as though I were eating in Paris.,5
610,The service was excellent - friendly and attentive.,5
611,The prices are wonderfully low.,5
612,Very good wine choices.,5
613,I can't believe people complain about no cheese sticks?,1
614,Who has room for Cheesesticks with the best pizza in NYC!,5
615,Get the pepperoni - YUM - and a family style salad.,5
616,Great staff.,5
617,Always great service!,5
618,I go twice a month!,5
619,Fantastic!,5
620,"The food is good, I can't lie.",5
621,But the staff was so horrible to us.,1
622,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,1
623,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,1
624,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",1
625,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",5
626,Save yourself the time and trouble and skip this one!,1
627,I'll keep this short.,1
628,Amma is nothing special.,1
629,The two star chefs left quite some time ago to open their own place.,1
630,I ate here a week ago and found most dishes average at best and too expensive.,1
631,Will not be back.,1
632,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",1
633,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",5
634,Decor is nice though service can be spotty.,5
635,Decor is nice though service can be spotty.,1
636,This place is always packed.,1
637,I know because I live nearby.,1
638,"Most importantly, food is excellent.",5
639,Try the sea bass.,5
640,Highly recommended.,5
641,First of all Dal Bukhara Rocks.,5
642,As a student in NYU i need a place to eat after a hard day of work so usually i just go to any indian restraunt near by.,1
643,but ive heard a lot about this for the past 2 yrs and finally decided to eat here.,1
644,I am happy i did the food was awsome.,5
645,JUST AWSOME.,5
646,and yes Dal Bukhara is so dam good and so are all the kababs.,5
647,They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey.,1
648,but overall i give it a 10,5
649,10,5
650,I haven't been to the other locations.,1
651,Haru on Park S is simply disgusting.,1
652,The fish was not fresh and the rice tasted old and stale.,1
653,"Quite frankly, this is some of the worst sushi I have ever tried.",1
654,Will never be back.,1
655,honestly the worst sushi my husband and i had in our entire lives.,1
656,"believe us, we've been eating sushi for over 15 yrs.",1
657,not sure why this restaurant would be rated that highly.,1
658,the all-u-can-eat sushi is definitely in very poor quality.,1
659,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",1
660,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish.",1
661,the waitstaffs are nice though.,5
662,wont come back again for sure!,1
663,I have been to Roth's twice and both times were very disappointing.,1
664,Once for dinner and once for brunch.,1
665,"Both times I was extremely dissappointed by the service, which was boarderline rude.",1
666,They wouldnt even let me finish my glass of wine before offering another.,1
667,Much of the time it seems like they do not care about you.,1
668,"The dinner was ok, nothing I would have again.",1
669,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",1
670,This was a great surprise.,5
671,With the theater 2 blocks away we had a delicious meal in a beautiful room.,5
672,The service was attentive.,5
673,I look forward to eating here again,5
674,Planet Thai is great!,5
675,"We love the food, drinks, and atmosphere!",5
676,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",1
677,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",5
678,"Try the Pad Thai, it's fabulous and their prices are so cheap!",5
679,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",5
680,"Just remember, the later you go, the longer you may have to wait.",1
681,It's popular w/the late crowd.,1
682,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",1
683,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",1
684,"Overall, not worth the money.",1
685,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",5
686,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",1
687,I love Indian food and consider myself to be quite an expert on it.,1
688,Chennai Garden is my favorite Indian restaurant in the city.,5
689,They have authentic Indian at amazin prices.,5
690,This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,1
691,The seats are uncomfortable if you are sitting against the wall on wooden benches.,1
692,It's a rather cramped and busy restaurant and it closes early.,1
693,Patroon features a nice cigar bar and has great staff.,5
694,The food is tasty and portion sizes are appropriate.,5
695,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,5
696,Not a great place for family or general dining.,1
697,LLOOVVE THIS PLACE.,5
698,Food is excellent.,5
699,Fish is so very fresh.,5
700,Waitstaff are very friendly.,5
701,Love YUKA.,5
702,Mermaid Inn is an overall good restaurant with really good seafood.,5
703,The menu is limited but almost all of the dishes are excellent.,1
704,The menu is limited but almost all of the dishes are excellent.,5
705,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,5
706,The service is good and ambience is good for a date or group outing.,5
707,The only fallback on this restaurant is the prices.,1
708,"Even though its good seafood, the prices are too high.",5
709,"Even though its good seafood, the prices are too high.",1
710,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,5
711,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,1
712,Went to Village last night for my birthday.,1
713,"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",1
714,We were very pleasantly surprised.,5
715,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",5
716,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",5
717,Truly the mark of an attentive waiter.,5
718,I highly recommend the restaurant based on our experience last night.,5
719,We ate at this Thai place following the reviews but very unhappy with the foods.,1
720,We thought that this place is using too much of MSG cooking in the foods.,1
721,Why?,1
722,"They don't concern much of customer's health, just want to make money.",1
723,please don't fool us.,1
724,I visit New Green Bo when I have money or when I am broke.,1
725,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",5
726,The food is so cheap and the waiters are nice.,5
727,"Of course, it is crowded but who cares.",1
728,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,5
729,Have frequented 'ino for several years and the food remains excellent.,5
730,Cheese plate is a varied delight and great bargain at $10.,5
731,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",5
732,"(The asparagus, truffle oil, parmesan bruschetta is a winner!)",5
733,Wine list is extensive without being over-priced.,5
734,"Be sure to try the seasonal, and always delicious, specials.",5
735,Definitely a neighborhood favorite.,5
736,I loved this place!!,5
737,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,5
738,"The food was very good, a great deal, and the place its self was great.",5
739,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",5
740,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",1
741,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",5
742,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",1
743,"The waitress, seems to be more concerned of looking good than actually waitressing.",1
744,"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.",1
745,"We did tip, I guess the model/waitress just wanted more and complained to the manager.",1
746,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",1
747,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",5
748,Pizza here is consistently good.,5
749,Salads are a delicious way to begin the meal.,5
750,You should pass on the calamari.,1
751,It is thick and slightly soggy.,1
752,Decor is charming.,5
753,Service is average.,1
754,What a great place.,5
755,I came into the city to try out this restaurant because a friend had recommended it to my husband.,1
756,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",5
757,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",1
758,I would definitely recommend SEA if you like thai cuisine!,5
759,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,1
760,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",1
761,"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently",1
762,"While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.",1
763,"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.",1
764,Never again!,1
765,I absolutely Loved this place.,5
766,"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.",1
767,"Excellent atmosphere, delicious dishes good and friendly service.",5
768,this is can became on e of the NY Italian Food fare institutions.,5
769,I think that it is absolutely brilliant and well runned business operation.,5
770,The wine list is also really nice.,5
771,A friend from Seattle and I went on a Thursday night around 8:30.,1
772,"Everything was wonderful; food, drinks, staff, mileau.",5
773,I would highly recommend this place!,5
774,I have been to Casimir over 5 times and I have always had a great time there.,5
775,The food is great and reasonably priced.,5
776,"I have tried to make reservations, but both times, the hostess didn't have my name.",1
777,"If the weather is nice, try to snag an outside table.",5
778,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",5
779,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",1
780,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,5
781,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",5
782,"Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.",5
783,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,5
784,Nice Family owned traditional restaurant.,5
785,Fresh ingredients and everything is made to order.,5
786,I was pleasantly surprised to find this gem in Hoboken.,5
787,Friendly staff that actually lets you enjoy your meal and the company you're with.,5
788,My friends and I were on vacation in NY and was referred to Chance by a friend.,1
789,"I found the food to be outstanding, particulary the salmon dish I had.",5
790,"I also ordered the Change Mojito, which was out of this world.",5
791,"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",1
792,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",5
793,"Overall, excellent restaurant!",5
794,i went to utsav about a yr ago with my family.,1
795,The food was good.,5
796,The place was nice and calm.,5
797,but the service was a bit slow.,1
798,I work around the corner and tried it with a colleague for the first time.,1
799,The buffet had a nice selection.,5
800,The food was average or above including some surprising tasty dishes.,5
801,Service was also very good.,5
802,I would go back.,5
803,I got an excellent piece of cheesecake and we had several other nice pastries.,5
804,"I would recommend Roxy's for that, but not for their food.",1
805,"I would recommend Roxy's for that, but not for their food.",5
806,My son and his girlfriend both wanted cheeseburgers and they were huge!,1
807,"But, they were too big for the bun.",1
808,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",1
809,Also they were $15 each!,1
810,I had a huge pastrami sandwich on a roll.,1
811,It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,1
812,It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,1
813,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",1
814,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",5
815,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",1
816,And the Tom Kha soup was pathetic.,1
817,If you want good authentic Thai this place is not the place to go.,1
818,"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",5
819,"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.",5
820,"Conveniently located too, being right on Bedford ave.",5
821,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",5
822,I will definetly be going back.,5
823,We had the lobster sandwich and it was FANTASTIC.,5
824,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",1
825,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",5
826,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,5
827,I recommend getting a reservation even though we saw people seated without one.,1
828,We waited at the bar and had martinis that were just right.,5
829,love the food.,5
830,it's the only place you can get yummy authentic japanese comfort food.,5
831,it helps if you know what to order.,1
832,and you can't beat the prices.,5
833,I've lived in NY for 5 years and this place has it all.,5
834,"Great food, good size menu, great service and an unpretensious setting.",5
835,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",5
836,I'm glad I was introduced to this place and this is a rare gem in NY.,5
837,"We have tried every Thai restaurant between Atlantic Avenue and 4th Streets, and Joya is the best.",1
838,"The freshest, best variety, and the fastest delivery.",5
839,Also very inexpensive.,5
840,A great choice at any cost and a great deal.,5
841,The service was excellent and the food was delicious.,5
842,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",5
843,"Overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.",1
844,Definitely a great spot for a nice occasion or date.,5
845,"Average to good Thai food, but terrible delivery.",5
846,"Average to good Thai food, but terrible delivery.",1
847,I've waited over one hour for food.,1
848,They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,1
849,A Thai restaurant out of rice during dinner?,1
850,"The food arrived 20 minutes after I called, cold and soggy.",1
851,i actually feel like i should keep it a secret.,1
852,This is a wonderful place on all stand points especially value ofr money.,5
853,An excellent service,5
854,Went to Cafe Spice with 4 of my friends on a saturday night.,1
855,We were greeted promptly by the waiter who was very nice and cordial.,5
856,She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food.,5
857,We were fast to order the appetizer platter since we were very hungry.,1
858,The food looked very appetizing and delicious since it came on a variety of fancy plates.,5
859,We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.,5
860,I thanked my friend who recommended me this restaurant and will certainly recommend it to others.,5
861,"I went here with a friend on a whim, we went someplace else first and couldn't get a table.",1
862,"Service here was great, food was fantastic.",5
863,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",5
864,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",1
865,Will absolutely visit again.,5
866,Maybe tomorrow ;-),1
867,You cannot go wrong with this place.,5
868,"The food is outstanding and the service is quick, friendly and very professional.",5
869,"Always a nice crowd, but never loud.",5
870,Go here.,5
871,Good for dates or with friends.,5
872,I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.,5
873,"However, it is jus too good to not praise it.",5
874,"By far, the best pizza in Manhattan.",5
875,"The crust is thin, the ingredients are fresh and the staff is friendly.",5
876,"For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.",1
877,less wait time for me!,1
878,We arrived on time for our reservation and seated promptly.,1
879,The menu has so many fish items and oysters.,5
880,We all ordered different entrees so we could share.,1
881,"The fish was really,really fresh.",5
882,I lived in Maine for ten years and grew up on fish.,1
883,We all agreed that mare is one of the best seafood restaurants in New York.,5
884,I stumbled upon this great pizzeria as I explored my new neighborhood.,5
885,All of the pizzas are terrific and the price is even better!,5
886,I highly recommend the Sophia pizza.,5
887,It's to die for!,5
888,The food was mediocre at best but it was the horrible service that made me vow never to go back.,1
889,"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",1
890,There are other people waiting!,1
891,We weren't even at our table for more than an hour total.,1
892,"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",1
893,Our friends have not arrived yet.,1
894,So rushing us out was absolutely unnecessary!,1
895,"For the people who want great food plus great service, Roxy is a place to AVOID!",1
896,I've been here twice now.,1
897,"The first time the sushi was outstanding, the second time it was a little bland.",5
898,"The first time the sushi was outstanding, the second time it was a little bland.",1
899,I'm sure I'll return for a final judgement tho.,1
900,"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",5
901,Mizu is the Japenese find in Grammercy.,5
902,"While their kitchen food is delicious, their Sushi is out of this world.",5
903,Mizu is home to creative and unique rolls not to found anywhere else.,5
904,"Not only is the cuisine the best around, the service has always been attentive and charming.",5
905,Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!,5
906,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",5
907,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",1
908,I ordered the smoked salmon and roe appetizer and it was off flavor.,1
909,"The entree was bland and small, dessert was not inspired.",1
910,I expected quite a bit more from such an expensive menu.,1
911,"The view is spectacular, and the food is great.",5
912,Wonderful strawberry daiquiries as well!,5
913,Definitely worth the trip to Battery Park City!,5
914,One of my favorite places in Manhattan.,5
915,Authentic Taiwanese food that's cheap... what more could you ask for?,5
916,(Besides that there should be more restaurants like it around the city).,5
917,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,5
918,delicious simple food in nice outdoor atmosphere.,5
919,"Kind, attentive wait staff.",5
920,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).,5
921,My friend devoured her chicken and mashed potatos.,5
922,Delicious crab cakes too.,5
923,"Even if the food wasn't this good, the garden is a great place to sit outside and relax.",5
924,Great neighborhood joint.,5
925,This is a nice pizza place with good selection of thin crust pizza including the Basil slice.,5
926,"Their calzones are horrific, bad, vomit-inducing, YUCK.",1
927,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,1
928,The counter service is bad.,1
929,They charge different prices all the time.,1
930,"They're rude at times, and not very friendly.",1
931,NO PIZZA 33 for me!,1
932,"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.",1
933,"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",1
934,"The sandwiches are dry, tasteless and way overpriced.",1
935,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",1
936,"Seriously, this place kicks ass.",5
937,"The atmosphere is unheralded, the service impecible, and the food magnificant.",5
938,"Best Italian food I ever had (and being Italian, that means alot).",5
939,"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",5
940,"This is such a lovely, peaceful place to eat outside.",5
941,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,5
942,"It is set far from the small street it's on, and there is no traffic noise.",5
943,"The food is good, especially their more basic dishes, and the drinks are delicious.",5
944,"This is a great place to take out-of-towners, and perfect for watching the sunset.",5
945,Great sushi experience.,5
946,Nice value.,5
947,Unique apppetizers.,5
948,Try sushimi cucumber roll.,5
949,"Good spreads, great beverage selections and bagels really tasty.",5
950,THE BIG COMPLAINT: NO TOASTING AVAILABLE.,1
951,I complete the total bagel experience by having it lightly toasted.,1
952,Murray won't do it.,1
953,Won't or Can't is not in the service directory.,1
954,But who says Murray's is anything about service.,1
955,"So close, but not good enough.",1
956,Don't be fooled by crowds of people.,1
957,The service is awful.,1
958,This place is not worth the prices.,1
959,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",1
960,Love Pizza 33..,5
961,I will be out with friends and all of a sudden I am hungry and I only crave one thing... their Pizza.,5
962,I live in the neightborhood and am a regular.,1
963,It hits the spot every time,5
964,This tiny Williamsburg spot is always pleasantly surprising.,5
965,The pizza is delicious and the proprietor is one of the nicest in NYC.,5
966,Even the pasta is delicious here (a rarity in New York pizza restaurants).,1
967,I've been many time and have never been disappointed.,5
968,"Compared to Ess-a, Tal offers a less doughy bagel!",1
969,They even scoop it out nice (for those on a diet) not too much not to little.,5
970,The cream cheeses are out of this world and I love that coffee!!,5
971,A little crowded but they move that line really fast!,5
972,A little crowded but they move that line really fast!,1
973,A little pricey but it really hits the spot on a Sunday morning!,1
974,A little pricey but it really hits the spot on a Sunday morning!,5
975,"Bagels are ok, but be sure not to make any special requests!",1
976,"Bagels are ok, but be sure not to make any special requests!",1
977,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,1
978,Be sure not to get anything other than bagels!..,1
979,Be sure not to get anything other than bagels!..,5
980,the turkey burgers are scary!,1
981,The worst excuse for Japanese food I've ever encountered.,1
982,The soup for the udon was soy sauce and water.,1
983,The sushi was awful!,1
984,The rice was poor quality and was cooked so badly it was hard.,1
985,"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",1
986,"The fish was adequate, but inexpertly sliced.",1
987,It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,1
988,"Good, fast service.",5
989,I would highly recommend.,5
990,Food is great and inexpensive.,5
991,The location is perfect.,5
992,Give it a try and enjoy.,5
993,I thought going to Jimmys would give me a real Domincan exprience.,1
994,Jimmy is Dominican!,1
995,"Well, this place is so Ghetto its not even funny.",1
996,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,1
997,Would NEVER go back there.,1
998,Too bad Latin Quarters closed.,1
999,"That place was awesome,,,  sally !",1
1000,Awsome Pizza especially the Margheritta slice.,5
1001,Always busy but fast moving.,5
1002,Great atmoshere and worth every bit.,5
1003,Open late (well as late as I ever got there and I'm a night person),5
1004,Winnie and her staff are the best crew you can find serving you.,5
1005,The food is reliable and the price is moderate.,5
1006,The food is reliable and the price is moderate.,1
1007,What more can you ask for?,5
1008,"For authentic Thai food, look no further than Toons.",5
1009,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",1
1010,"Try the Pad Thai, or sample anything on the appetizer menu...they're all delicious.",5
1011,Everything about this restaurant was special.,5
1012,"The service was attentive, yet discreet.",5
1013,The flavors robust and subtle.,5
